institution,state,long,lat,rating,total,curriculum,researching,campus_engagement,public_engagement,air,buildings,energy,food,planning,diversity,investment,wellbeing,endowment,area,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,climate,locale,low,monday,IPEDS.ID
Stevens Institute of Technology,NJ,-74.025334,40.744776,Gold,65.2,26.39,15,11.25,8.92,8.85,1.12,5.22,3.36,7.38,6.77,1.25,3.15,2.24E+08,55,5806.75,12.09,44.57,6116.1,0.35,33.18,24.72,19.2,0.74,15.25,4,Mid-size city,Meatless Mondays Ancient Grains Station (fully plant based proteins) Beyond Meat specials Allergen Friendly Room (meatless chicken nuggets etc),NA,NA
Susquehanna University,PA,-76.875329,40.797502,Silver,56.08,22.16,15.06,13.94,9.46,7.3,0.61,5.03,2.19,7.13,6.75,0,2.1,166588189,322,2571.84,8.68,34.39,NA,0.25,8.47,15.66,2.05,1.93,17.24,5,Small town,Vegan options are available at every meal. The vegan dining station is front and center when you first walk into the cafeteria's food service area. A rotating selection of vegan meals are offered there and diverse plant-based proteins in an array of styles and tastes are available to all students. Throughout the year vegan foods are highlighted such a hummus plant based specialty burgers and a plant forward lunch which provided limited animal-based proteins.,NA,216278
Swarthmore College,PA,-75.354278,39.905159,Silver,60.69,20.21,14,18.23,12.01,7.61,2.18,4.6,2,5,8.17,0.01,4.38,2131553000,423,2320.5,7.96,30.81,13963.8,0.44,51.17,24.42,0,2.56,0,4,Urban fringe of large city,The most widely promoted low impact dining event by the College's Dining Services is the annual Harvest Dinner which sources all products from local vendors.,NA,216287
Syracuse University,NY,-76.136975,43.040176,Silver,53.65,23.53,13.16,10.74,14.7,4.13,3.06,4.42,1.75,5,8.34,0,2,1.16E+09,950,18738.75,9.66,35.46,18437.04,0.34,46.17,15.7,NA,4.72,NA,4,Mid-size city,Food services works with the SU Health and Wellness department and hosts Meatless Mondays. They also host a Local Foods theme dinner in the five dining centers for Campus Sustainability Month in October. The food for this event is a local within 250 miles or 500 miles for meat and all New York state food products are served including proteins vegetables desserts starches fruit and beverages.,Yes,NA
Temple University,PA,-75.156859,39.980546,Silver,47.82,18.4,7.26,11,9.03,7.14,2.63,3.42,1.64,5.5,4.66,0,2.62,615352000,351.3,33839.25,5.23,2.65,9147.33,0.18,40.38,7.92,2.57,3.26,NA,4,Large city,The university hosts Meatless Mondays at residents dining halls.,Yes,NA
Tennessee Technological University,TN,-85.504039,36.174754,Silver,53.09,22.25,11.8,14.49,13.17,4.6,2.01,2.47,2.27,5.25,6.67,0,3.29,71287380,1162,7742.86,6.39,0.66,7813.42,0.16,19.55,45.22,1,4.76,NA,4,Large town,TN Tech Dining has a two week campaign called Stop Food Waste Program. It is to encourage students to reduce the amount of food they waste. We track TN Tech's food waste for these two weeks and students are rewarded for clean plates.,Yes,NA
Texas Tech University,TX,-101.874783,33.583448,Bronze,40.8,20.72,7.46,10.13,8.5,0.17,0,3.18,1.27,4.38,6.06,0,1.89,102469138.2,1856.6,32119.25,5.38,0.01,6359.61,0.13,14.89,2.07,NA,5.29,NA,4,Large city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
The New School,NY,-73.997114,40.735508,Silver,51.5,21.99,12.04,8.75,7.83,5.48,1.76,5.24,2.89,4.25,4.92,3.08,2.91,368028000,NA,8817.75,10.92,56.48,NA,NA,47.9,11.83,23.8,0.43,NA,4,Large city,'Meatless Mondays',Yes,NA
The University of Texas at Austin,TX,-97.738273,30.282825,Gold,65.54,28.47,12.89,15.76,13.22,3.56,4.27,4.22,3.16,5.38,8.42,0.75,3.54,25947842000,917,46674.75,10.17,0,95895.46,0.18,42.37,17.17,0.85,5.57,NA,4,Large city,NA,NA,NA
The University of Texas at Dallas,TX,-96.749702,32.984673,Gold,65.21,29.02,14,20.25,8.21,4.75,2.71,6.02,2,6.5,9.16,0,2.88,532100000,445,21712,7,0.55,8569.73,0.12,30.36,26.49,NA,3.43,NA,3,Urban fringe of large city,"In Fall 2018 The University of Texas at Dallas became the first public university in Texas to join Meatless Monday an international campaign promoting health and sustainability throughout college campuses around the world. A partnership between Student Government and Dining Services this project aims to bring awareness about healthy living not just for students but also the environment. With meat production contributing significantly to the environmental challenges our world faces today we hope Meatless Monday will encourage students to reduce meat consumption on at least one day out of the week. From \Teaching Kitchens\"" (cooking demonstrations headed by UTD's Executive Chef) to an online pledge system Student Government and Dining Services strive to keep health and sustainability in the minds of the student population.""",Yes,NA
The University of Texas at San Antonio,TX,-98.620657,29.583709,Silver,45.22,21.43,15,11.25,6.91,3.33,1.5,2.72,1.3,3.88,5.89,0,1.69,171801294.2,735,21887.75,3.44,NA,NA,0.03,80.65,19.41,NA,NA,NA,2,Large city,NA,NA,NA
The University of Virginia's College at Wise,VA,-82.559656,36.970602,Gold,67.15,24.92,14.89,15.72,15.69,6.4,2.21,3.33,3.02,7.38,8.44,3.67,2.47,9.90E+09,1230,32054.75,6.66,NA,14818.4,0.36,30.44,8.89,3.55,NA,NA,4,Urban fringe of mid-size city,NA,NA,NA
Tufts University,MA,-71.118293,42.40855,Silver,61.04,0,0,0,0,0,0,0,0,0,0,0,0,1774579212,758,11885.25,4.59,0.01,10113.29,0.29,55.44,14.59,7.1,3.64,NA,5,Urban fringe of large city,Menus of Change,Yes,NA
Unity College,ME,-69.332276,44.603165,Gold,68.26,38,16,19.24,13.98,6.63,0,5.74,3.02,4.75,6.97,4.22,2.25,14680667,429,748.25,58.54,29.81,4933.67,0.24,48.58,100,8,1.15,NA,6,Rural,In the Fall Unity hosts a hyper local harvest dinner with a large percentage of the food coming from the campus farm or local farmers in the surrounding county which cuts down on emissions from transportation and celebrates foods that can be produced locally.,Yes,NA
University at Buffalo,NY,-78.789458,43.000942,Gold,69.58,28.09,11.95,17,14.4,8.22,3.5,5.23,2.03,7.5,8.4,2,4.88,7.20E+08,1242,28026.5,11.25,54.86,11895.45,0.16,42.89,22.38,0.48,1.54,NA,5,Urban fringe of large city,The 'Clean Platters' and 'Waste Less' events are a couple examples of UB low impact dining initiatives on campus. We also have an ugly vegetable and produce event to show students that Quality B foods are still good to eat,Yes,NA
University of Alabama at Birmingham,AL,-86.799345,33.505697,Silver,56.45,15.18,13.76,18.76,14.07,2.86,2.31,2.5,1.75,7.25,8.69,0,2.77,495300000,503,26692.25,1.19,0.01,28251.86,0.1,25.77,47.1,NA,14.12,NA,3,Mid-size city,"UAB Campus Dining encourages students to participate in “Meatless Monday” emphasizing the health and environmental importance of cutting consumption of meats like beef pork and chicken. On Mondays the main dining line (\Classics\"" line) in the largest dining facility highlights vegetarian and plant-based proteins and offers no animal products. """,Yes,NA
University of Alabama in Huntsville,AL,-86.640449,34.724557,Bronze,27.06,15.28,2.92,8.5,2.65,0,0.09,2.8,1,1.75,4.33,0,2.25,7.60E+07,505,5438.75,3.13,NA,11812.62,0.69,3.54,3.31,NA,7.58,NA,3,Mid-size city,NA,No,NA
University of California Berkeley,CA,-122.260463,37.871918,Platinum,85.39,36.31,17.12,19.42,17.78,6.59,4.49,2.97,3.79,8.5,9,6.19,5.88,4.90E+09,1232,45407.5,46.99,NA,12860.77,0.16,52.72,24.81,14.17,NA,NA,3,Mid-size city,NA,NA,NA
University of California Davis,CA,-121.749567,38.539667,Gold,74.67,27.65,16.51,14.76,14.72,7.09,4.69,6.49,3.45,7.5,8.33,5.6,3.54,494769996,5278,37051,11.85,NA,15471.93,0.59,68.81,35.34,12.22,NA,NA,3,Large town,NA,NA,NA
University of California Irvine,CA,-117.841248,33.648434,Platinum,88.59,38,18,19.76,18.72,7.12,5.05,5.13,3.64,9,9,6.19,5.59,1.50E+10,1475,32178.25,48.79,NA,10320.16,0.24,75.61,32.05,11.01,NA,NA,3,Mid-size city,NA,NA,NA
University of California Los Angeles,CA,-118.443901,34.068892,Gold,67.72,19.19,15.57,14.66,15.77,7.23,4.83,0.79,3.41,6.5,8.33,5.6,5.9,3.40E+09,419,63088.25,5.34,NA,14393.66,0.31,57.06,17.55,4.8,NA,NA,3,Large city,NA,NA,NA
University of California Merced,CA,-120.424944,37.366237,Gold,83.8,35.53,18,19.25,16.95,7.2,5.17,5.34,2.74,7.75,8.77,5.19,4.11,38592000,274,7683.25,22.71,35.06,12004.04,0.09,43.42,88.17,21,NA,NA,3,Large town,NA,NA,NA
University of California Riverside,CA,-117.32741,33.97246,Gold,69.97,20.18,17.27,14.78,15.21,6.25,2.72,2.6,2.89,7.13,8.67,6.19,5.72,202090135,1107.31,23312.83,2.16,NA,15248.05,0.18,57.34,16.41,5.23,NA,NA,3,Large city,NA,NA,NA
University of California San Diego,CA,-117.235866,32.877749,Gold,71.62,24.53,18,13.52,14.5,5.99,4.33,3.86,3.41,8,8.78,6.19,2.88,2.30E+09,1158,45413.5,16.94,NA,12421.99,0.14,37.28,17.77,12.49,NA,NA,3,Urban fringe of large city,NA,NA,NA
University of California Santa Barbara,CA,-119.846426,34.416297,Gold,77.79,23.11,16.85,16.18,17.58,7.35,4.76,4.46,4.44,8.5,8.34,6.19,5.21,439618648.8,1127,21673,5.85,NA,9578.55,0.26,65.72,20.06,19.56,NA,NA,3,Urban fringe of mid-size city,NA,NA,NA
University of California Santa Cruz,CA,-122.058801,36.995584,Gold,76.34,30.94,18,17.31,14.6,6.21,4.12,4.15,2,7.25,8.05,5.19,3.57,190121000,2038.8,20028.5,18.83,5.28,8594.25,0.22,59.8,45.63,NA,NA,NA,3,Rural,NA,NA,NA
University of Central Florida,FL,-81.200889,28.602159,Silver,47.16,15.25,6.51,7.75,9.36,5.95,1.94,4.87,1.55,7.13,7.11,0,2.88,164700000,1415.1,37643.2,2.54,0.71,7047.25,0.04,39.46,4.19,NA,1.86,NA,2,Urban fringe of large city,Dining Services does not currently host a Meatless Monday event. However they do offer diverse daily meatless offerings at both dining halls.  Dining Services hosted the Vegan Showcase with Chef Johnny Rivers that featured plant-based options.,NA,NA
University of Cincinnati Blue Ash College,OH,-84.399956,39.234333,Gold,67.77,29.42,14.96,16.92,13.42,7.03,4,3.5,2.79,6.5,7.89,0,4.63,1.45E+09,425,30030,7.62,NA,10947.02,0.2,13.51,9.15,7.6,NA,NA,4,Large city,NA,NA,NA
University of Colorado Boulder,CO,-105.270823,40.008781,Gold,75.41,32.47,16.72,19.81,16.09,6.19,4.44,4.17,2,7.25,8.25,1.97,2.75,937500000,597,25178.25,25.21,NA,11743.94,0.24,46.06,14.49,16.45,4.93,NA,6,Large town,Campus Dining Services hosts many low impact dining events throughout the year. A list and brief explanation of these is provided below.  The low impact dining approach to customer education at CDS is to promote plant forward diets and reduce food waste.  CDS Marketing and Communications utilizes napkin dispenser inserts digital signage and social media to promote sustainable dining. Local procurement is highlighted in the Featured Produce of the Month events Harvest Meal (campus wide) and other special events such as Taste of CU. DISH – This is our overall dining campaign which promotes Delicious foods produced in Innovative and Sustainable ways with Healthy diets in mind.  This campaign is used throughout all sustainability events and we utilize branded marketing materials to bring familiarity with our campaign throughout the year for our customers.The DISH – This is our customer forum which complements our campaign.  Once a month throughout each semester we hold a one-hour event that engages open discussion with our Sustainability Manager and our Registered Dietician along with various guests with expertise on our various topics.  Each forum focuses on a different letter of our campaign covering all of DISH each semester. These are very popular and are a unique opportunity for us to engage with the students at a time in life where they are gaining independence and forming their dietary and sustainable habits.  Events include but are not limited to starting a seed pot for your garden building a well balance protein bowl and taking a tour of our newest dining center focusing on the aspects that helped achieve LEED platinum certification.,Yes,NA
University of Colorado Colorado Springs,CO,-104.800296,38.892735,Gold,65.05,30.67,11.06,15.83,14.95,5.67,3.17,4.79,2.59,7.25,5.55,0.91,3.03,70800000,549,8680.75,8.85,0.9,5893.99,0.07,51.32,10.81,8.82,2.52,1.91,5,Large city,The Roaring Fork Dining Hall and the Lodge Dining Hall both have Market Fresh stations. The Market Fresh platforms focus on meatless and allergen free dishes. The dining halls promote protein dense plant forward dishes as part of the Menus of Change program.,NA,NA
University of Connecticut,CT,-72.249948,41.809098,Platinum,86.01,39.14,18,21,20,6.43,3.61,3.8,5.65,7.75,9.03,1.77,4.3,462800000,3320,22123.11,17.84,1.68,12413.13,0.24,48.42,56.3,49.33,4.59,NA,5,Rural,Every April the Department of Dining Services hosts a Zero-Waste Barbeque as part of UConn’s Earth Day Spring Fling celebration. The barbeque features vegan burgers and “salad on a stick.”  No utensils are needed all plates are reusable and all napkins are compostable.  There are several waste stations manned by volunteers to direct students to compost correctly.,Yes,NA
University of Dayton,OH,-84.176113,39.739547,Gold,76.08,36.85,18,16.97,17.3,5.02,2.47,2.65,2.16,7,9.07,1.99,4.06,567311000,358,11147.25,17.45,0.53,10418.88,0.32,56.42,16.74,2.95,6.21,NA,5,Mid-size city,Beginning in 2019 the chef at VWK hosts tastings to introduce students to plant-based diets.Other events include: - locally-sourced ingredients for meals and snacks at the 2018 biennial Social Practice of Human Rights hosted at UD.- locally-sourced snacks at 2018 Reunion Weekend- two zero-waste events in 2018: CultureFest and the all-employee picnic,Yes,NA
University of Delaware,DE,-75.752822,39.679577,Bronze,36.07,14.94,2,9.01,10.46,6.55,0,4.18,2,1,5.37,0,1,1663508000,1996,21493.75,1.64,0,11786.21,0.17,34.17,NA,NA,4.63,NA,4,Large town,present limited time offers with focus use of plant forward items.  Program also includes -Fit Friday Farm to Table Tuesday,Yes,NA
University of Florida,FL,-82.347911,29.64629,Silver,52.36,16.41,11.41,11.97,11.39,4.26,2.56,1.86,2.32,7,9.06,0,2.33,1.73E+09,1955.2,50374.75,3.16,0.05,15657.65,0.3,40.15,7.93,5.99,5.93,NA,2,Large town,Fresh from Florida FridaysOn Friday we feature a unique Fresh from Florida produce item at both our dining halls. These items allow our diners to experience a wider variety of Florida-grown produce beyond our staple items.  Some examples include aquaponic-grown romaine lettuce from Traders Hill Farm hydroponic-grown tomatoes from Waterkist Farms lacinato kale from Satur Farms and hydroponic-grown butterhead lettuce from Bacon’s Select Produce.,Yes,NA
University of Georgia,GA,-83.374039,33.956262,Gold,69.7,33.11,17.33,16.72,16.49,5.02,3.25,3.68,1.8,5.88,7.44,1.34,2.51,1343987000,823,36880.75,18.07,0.28,12707.05,0.18,28.08,52.9,NA,5.72,NA,3,Mid-size city,The Agnes Scott Dining Services provides Meatless Mondays every week during Monday’s dinner.,NA,NA
University of Houston,TX,-95.343537,29.720393,Gold,68.81,27.75,16,17.25,17.83,4.47,3.25,4.29,2,6.5,9.04,1.08,3.14,654290057,891.8,36795.75,7.76,10.31,11649.59,0.12,16.45,15.04,0,5.58,NA,2,Large city,To promote meatless Mondays both dining halls offer sustainable sourced fished dishes.,Yes,NA
University of Idaho,ID,-117.014167,46.727406,Silver,58.21,21.67,12.43,12.11,10.29,6.63,4.01,6.81,1.88,6.5,7.06,0,2.88,6682883.33,810,8386.18,9.36,60.54,16775.62,0.16,37.59,27.8,NA,1.99,NA,4,Small town,NA,No,NA
University of Kentucky,KY,-84.504747,38.038911,Silver,50.41,13.83,15,11.73,10.49,3.97,2.5,3.16,3.34,5.75,6.67,1.06,2,1.28E+09,800,32963.25,3.16,0.01,16720.23,0.47,27.75,53.84,15.86,13.44,NA,4,Large city,We focus on incorporating Plant-Forward menus.,No,NA
University of Louisiana at Lafayette,LA,-92.020165,30.212191,Silver,50.92,0,0,0,0,0,0,0,0,0,0,0,0,132883603,1198.5,11191.5,37.89,1.45,11720.99,0.12,23.73,14.97,NA,2.63,NA,2,Mid-size city,National days like Vegetarian Day Vegan Day Guacamole Day etc. are celebrated and the Dining Services social media account posts daily about what is available at the Vegetarian Action Station.,NA,NA
University of Louisville,KY,-85.760412,38.216862,Gold,66.24,21.81,11.22,19.25,13.01,5.91,2.5,5.58,2.59,7,7.85,3.86,3.77,796900000,711,20254.25,5.86,4.27,10425.66,0.22,55.19,10.88,6.9,6.4,NA,4,Large city,Low impact dining is promoted on campus through events such as 'Behind the Plate' where students are asked to think about the carbon footprint water use and transport costs behind the products they eat. We also host Meatless Mondays and use 'Plant Forward' icons on menu items which are plant-based and low impact.,Yes,NA
University of Maine,ME,-68.669332,44.899257,Silver,54.8,20.79,15,13.25,9.59,5.79,1.25,2.52,2,3,5.68,1.9,1.85,4.99E+08,736.1,9491,7.49,NA,1831.45,0.27,48.34,25.09,NA,4.53,NA,6,Small town,UMaine hosts at least two zero-waste events each year on New Student Orientation and Maine Day.,Yes,NA
University of Maryland Baltimore County,MD,-76.711607,39.256686,Silver,56.33,21.49,10.01,12.59,9.87,3.51,2.27,5.48,2,5.63,7.18,3.73,3.48,105200000,512,12929.7,3.28,21.62,5709.18,0.14,40.18,8.08,NA,4.7,NA,4,Urban fringe of large city,UMBC Dining offers Plant-forward menus. The production and consumption of animal-based foods are another leading cause of rising greenhouse gas emissions so to combat this one we have reduced our red meat offerings and now provide plenty of plant-based protein alternatives. Animal agriculture is responsible for about 18% of worldwide greenhouse gas emissions and uses over a third of all raw materials and fossil fuels in the United States. Decreasing consumption of foods produced through animal agriculture and replacing them with plant-based foods can help reduce the harm done to our planet.,NA,NA
University of Maryland College Park,MD,-76.942554,38.987051,Gold,69.47,24.04,17.21,16.92,18,8.16,3.95,2.45,2.45,7.5,8.02,0.4,3.85,419068000,5210,37473.58,7.17,18.15,15.1,0.27,59.8,18.94,8.56,NA,NA,4,Urban fringe of large city,NA,NA,NA
University of Massachusetts Amherst,MA,-71.762144,42.278002,Silver,46.18,30.58,18,18.1,16.89,6.34,2.65,4.48,4.19,6.13,8.7,3.35,5.38,3.63E+08,1535,27479.5,10.13,0.01,9898.29,0.27,55.98,28.04,16.27,4.6,40.58,5,Large town,"Everyday UMass Dining provides several menu options in each of our dining commons that are vegetarian vegan and plant based and sustainable (organic fair trade humanely raised and have a \short supply chain\"".Over the past 5 years UMass Dining has hosted numerous high profile sustainability food events open to students faculty and the community.  Some of these events include:-Annual Diet for a Cooler Planet Event for the last 2 years. This event focuses on food as a means for climate action. Food solutions from the Drawdown Project are the backdrop of the menu design educational materials engagement strategy and presentation during the event. Dining staff and student ambassadors are trained in the engagement strategy and how the menu connects to the climate action food solutions.-Local UMass Event celebrates our local partnerships with regional farmers- Atlantic Seaweed Event featured sustainable seaweed producers from Maine who educated students staff and faculty about the regenerative and nutritional properties of seaweed.  -Annual Chef Conference involving 65 dining programs nationwide and impacting over 750000 students and consumers through the food they prepare.  This conference features sustainability themed keynote speakers that include topics like farm to institution the future of food and waste reduction.""",NA,NA
University of Massachusetts Dartmouth,MA,-72.526728,42.385999,Gold,76.93,23.88,8.76,12.79,13.19,4.73,3.12,3.55,2.93,3.13,4.97,3.35,2.43,8.72E+08,710,6365.75,6.59,NA,4627.86,0.28,17.52,11.44,11,4.54,9,4,Urban fringe of mid-size city,Used in conjunction with trayless dining this program held once a semester helps reduce food waste in our resident dining halls and create awareness among students. Food waste is monitored at the disposal area and an estimate of wasted goods are recorded and posted in the servery showing students week-by-week results. The posted results educate students about how much wasted food is thrown out on a daily basis which could be prevented.,NA,NA
University of Massachusetts Lowell,MA,-71.004552,41.62869,Silver,52.28,36.58,16,20,16.13,7.63,3.39,3.16,2.36,7,7.75,3.01,6.3,84800000,137.75,10262,19.09,0,NA,0.14,45.74,26.95,6.7,2.87,NA,5,Mid-size city,Dining Services offers events such as Meatless Mondays in select locations on campus. It is not offered in all locations but is available for students who make the choice.,Yes,NA
University of Massachusetts Medical School Worcester,MA,-71.326809,42.652864,Gold,77.56,29.46,12.51,19.26,16.51,5.3,3.91,3.24,2,6,8.51,0.4,2.88,2.10E+08,61.39,7829,13.04,0,24996.71,0.46,26.02,15.45,13,NA,NA,5,Mid-size city,NA,NA,NA
University of Miami,FL,-80.278662,25.72126,Gold,66.97,28.84,15.41,18.84,18.41,4.11,3.14,3.18,2,5.5,9.43,0,5.25,948600000,389,19937.5,31.25,0.04,20711.48,0.29,34.6,16.49,NA,5.49,NA,1,Large city,Provide Vegan foods for the community during Food Day and Earth Day events.,Yes,NA
University of Michigan Ann Arbor,MI,-83.742769,42.275921,Gold,69.08,29.73,18,14.02,10.92,4.86,3.72,3.7,1.83,5.25,6.52,3.38,4.57,1.09E+10,3263,66741.36,11.74,0.5,19231.63,0.29,34.1,13.54,NA,NA,NA,5,Mid-size city,NA,NA,NA
University of Minnesota Duluth,MN,-92.084385,46.817126,Gold,66,30.78,17.04,19.25,11.84,6.15,4.5,3.87,1.63,5.75,5.34,3.38,3.14,1.61E+08,244,9816.25,12.78,0.01,6783.09,0.13,45.1,28.67,1.47,NA,NA,7,Urban fringe of mid-size city,NA,NA,NA
University of Minnesota Morris,MN,-95.899729,45.589775,Gold,73.04,11.95,7.98,7.4,10.59,0,0.16,2.36,1.13,4.25,7.99,0,2.56,14.6,165,1790.28,22.76,28.21,10103.23,0.19,48.66,17.67,NA,NA,NA,6,Small town,NA,NA,NA
University of Mississippi,MS,-89.537434,34.365529,Bronze,36.72,27.2,16,20.5,14.37,7.99,2.64,6.14,2,4.25,8.85,0.03,2.2,7.15E+08,1884.45,20243.72,6.75,NA,16469.31,0.15,4.43,10.54,NA,7.58,NA,3,Large town,In 2017 the Office of Sustainability partnered with Ole Miss Dining services for a Mostly Meatless Monday event at the Rebel Market. Rebel Market offered vegetarian and vegan lunch options as well as an information table highlighting the environmental benefits of incorporating more plant-based meals into one’s diet vegan and vegetarian recipes and an activity table where students faculty and staff could plant an herb and take it home.,Yes,NA
University of Missouri Columbia,MO,-92.328843,38.94531,Gold,69.3,19.13,9.54,10,6.56,0,0,2.53,1.75,2,6.38,0,1.83,842343000,1262,29551.63,22.7,60.98,8925.65,0.28,23.61,71.72,NA,NA,NA,4,Large town,NA,NA,NA
University of Montevallo,AL,-86.865099,33.10625,Bronze,35.08,27.03,12.15,16.5,12.73,4.36,1.25,3.79,1,7.5,4.5,0.33,3.55,4.00E+07,160,2333.5,7.16,0,6785.52,0.09,28.09,8.63,NA,7.58,NA,3,Small town,Yes we have a constant rotation of low impact dining events including meatless menus farm-to-table events and superfood spotlights,Yes,NA
University of Mount Union,OH,-81.111029,40.905256,Silver,54.76,30.2,16,10.71,11.34,4.78,1.25,3.87,1.13,7.5,7.35,0,2.76,139700000,123,2271,8.85,10.39,7282.89,0.29,32.57,20,NA,5.97,NA,5,Small town,NA,No,204185
University of Nebraska at Omaha,NE,-96.008516,41.258769,Silver,56.9,39.52,18,20.5,18.66,9.24,3.25,6.91,3.42,7.75,8.1,6,3.31,60820264.06,695.71,11139,13.3,5.34,9256.96,0.13,30.59,25,NA,4.62,NA,5,Large city,NA,No,NA
University of New Hampshire at Manchester,NH,-71.468755,42.987209,Platinum,86.09,16.92,9.89,6,4.47,4.78,1.32,2.64,0.38,2,5.54,0,2.01,235800000,2600,11996,19.29,NA,7710.39,0.19,47.94,34.87,8.36,NA,NA,5,Small town,NA,NA,NA
University of New Haven,CT,-72.961472,41.291314,Bronze,35.2,26.74,17.89,14.19,17.7,5.91,3.12,4.19,4.23,5,8.21,0.03,4.44,1.30E+08,76,5868.5,5.44,0.14,6358.99,0.27,9.98,21.78,NA,2.17,NA,3,Urban fringe of mid-size city,NA,No,NA
University of North Carolina at Chapel Hill,NC,-79.050969,35.911769,Gold,69.57,12.27,15.33,4.6,8.18,0,0.46,0,1.8,5.13,4.33,0,1,3641700000,4247,33536.25,22.77,0.01,13809.68,0.31,42.13,25.33,20.18,9.38,33.95,4,Urban fringe of mid-size city,Low impact dining events such as  Meatless Mondays are offered in both residential dining halls - Top of Lenoir and Chase. On Meatless Mondays the Vegetarian Station becomes vegan and the following stations become vegetarian: World’s Fare Sushi Wrap and Pasta. Garden or Black Bean Burgers are available at the Grill everyday and 3 of 4 pizzas are vegetarian. All stations serve no or reduced meat.,NA,NA
University of North Georgia,GA,-83.985694,34.530219,Bronze,27.31,27.83,17.17,14.2,9.46,8.36,3.29,4.08,3.49,6.5,8.32,0.81,3.04,64055393,731.92,12850.25,3.09,NA,3940.92,NA,NA,16.67,0,5.29,0,4,Urban fringe of mid-size city,There are several options that are meatless or promoting meatless entrees. Per Contract:5.2  Top Recommendations:,NA,NA
University of Oregon,OR,-123.075792,44.045146,Gold,65.9,0,0,0,0,0,0,0,0,0,0,0,0,9.40E+08,615,21399.25,15.64,36.1,11981.77,0.17,55.72,18.38,3.8,1.13,42,4,Mid-size city,UO Dining promotes Low Carbon menus through identifying Low Carbon Impact menu items on posted menus. UO Dining hold an annual Low Carbon Footprint week throughout residential dining venues to promote and feature plant-forward dining options.,NA,NA
University of Pittsburgh Medical Center Shadyside School of Nursing,PA,-79.939494,40.454751,Gold,66.51,20.8,16.87,16.45,14.04,6.95,3.11,4.02,2.14,5.75,9.19,0,3.71,4342563000,145,31684.45,5,NA,9702.9,0.13,40.96,10.33,10,NA,NA,5,Large city,NA,NA,NA
University of Richmond,VA,-77.538806,37.577393,Gold,65.64,17.67,13.76,16.96,11.1,2.67,2.33,2.65,2.88,4.25,5.33,2.67,2.53,2511584000,322.5,4704,10.72,5.28,16833.98,0.39,35.09,28.32,2.66,4.63,NA,4,Urban fringe of mid-size city,Tyler’s Grill one of the on campus food retailers has a meatless monday special every week encouraging reduction of meat consumption on campus by offering a delicious vegetarian option every week. Passport Cafe's weekly special is always vegan or vegetarian focusing primarily on international cuisine. On Tuesdays and Thursdays in the dining hall the University’s main dining facility serving all three meals a day blended burgers (sixty percent beef to forty percent mushroom) are served in place of regular beef hamburgers. (The University is looking into completely switching all hamburger/cheeseburger options to blended burgers.),Yes,233374
University of Rochester,NY,-77.631202,43.126397,Silver,53.5,27.02,15,13.6,17.21,7.73,2.34,4.83,2.6,6.5,8.95,3.99,2.78,2.47E+09,682.89,24657.13,3.19,1.3,16201.96,0.47,25.71,18.75,10.9,0,NA,5,Mid-size city,We have hosted vegan meals. Recently hosted a water footprint dinner and a zero waste dinner.,Yes,NA
University of San Diego,CA,-117.192073,32.770816,Gold,70.13,20.99,9.48,12.76,15.33,6.41,2.49,2.84,5.12,6.38,7.33,1.25,3.66,5.46E+08,180,8215.28,19.33,4.82,10858.64,0.27,37.19,34.15,2.95,1.28,17.94,3,Large city,Every Monday Dining Services offers a Meatless Monday entree featured at the largest campus dining facility (Pavilion Dining) at the live-action cooking station. Every spring Dining hosts a plant-based event where only vegan and vegetarian options are offered at all micro-restaurants within Pavilion Dining during dinner. Each large scale bi-annual food festival has a zero-waste component in partnership with the university's Office of Sustainability.,NA,NA
University of Southern California,CA,-118.284169,34.021281,Silver,57.87,27.85,17.33,13.35,15.46,6.03,2.56,4.43,2.53,7.13,8.55,0.9,5.49,5.54E+09,226,41209.25,6.13,0.01,8982,0.51,29.37,3.57,38.84,2.54,30.22,1,Large city,"All dining halls serve plant based options including entrees sides salads and soups. The USC Village dining hall is the primary dining facility for 2500 students and has a dedicated vegan-friendly 100% plant based dining station as well as USC’s first \flexitarian station\"" (semi vegetarian where protein is an accent not the focus).""",NA,NA
University of St Thomas,TX,-95.393102,29.736438,Gold,70.12,17.62,9.62,14.52,9.48,0,2.25,2.99,4.73,3.25,6.79,0.06,3.3,586525642,84,8192.9,11.49,NA,5244.46,0.14,58.78,29.2,0,NA,NA,6,Large city,NA,NA,NA
University of the Pacific,CA,-121.312301,37.981424,Silver,46.15,29.53,14.96,15.31,9.28,5.96,3.9,4.12,3.78,7.13,8.11,0,2.93,463312942,175,7350,3.35,0,7198.91,0.32,30.84,6.68,7,5.29,77,3,Large city,Once a month the Bon Appetit chef holds an info session called Food for Your Well Being for the students in the Marketplace. The chef speaks with students about nutrition and provides healthy recipes and samples for the students. Bon Appetit also encourages students to use reusable boxes plates and service ware instead of single use items such as paper boxes.,NA,NA
