institution,endowment,area,climate,size,classes,renewables,water,waste,recycling,research,real_food,gge,plant_based,locale,low,monday,budget
Warren Wilson College,52700000,1050,4,820.75,31.86,0.26,17407.01,0.3,76.51,76.36,10.28,3.17,69.81,Small town,"The student Local foods Crew hosts events such as \Meatless Mondays\"" and a \""Waste Buffet\"" to visualize post-consumer waste on campus. The zero food waste challenge is very important on campus. Additionally we have our vegan/vegetarian Cowpie Cafe open for lunch and dinner each day.""",NA,"
      
      
        









  
    $500000 - $999999
  





  
  

  

  


      
    "
Washington and Lee University,1.60E+09,414.5,4,2605.25,11.51,0.89,11491.77,0.32,13.77,40.61,0.15,5.45,0.15,Rural,W&L's largest venue The Marketplace hosts a seasonal 100% locally-sourced meal at the beginning of the year to highlight the sustainable aspects of locally sourced food. ,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Washtenaw Community College,0,291,4,5724.75,1.75,0,2419.57,0.06,37.22,NA,NA,4287.75,NA,Mid-size city,,No,NA
Weber State University,120296092,512.4,5,9410.75,2.2,8.92,7980.02,0.11,35.62,12.61,9,1.45,NA,Mid-size city,The Wildcat room has a Meatless Monday program.,Yes,NA
Wellesley College,2.00E+09,500,5,3191,12.07,0.88,25763.99,0.76,59.43,16.45,13,8.56,NA,Large town,,No,NA
West Virginia University,589835000,10651.53,5,25747,1.41,NA,10459.82,0.17,26.16,20.62,2.17,6.13,21.98,Large town,WVU Dining typically hosts a 100-Mile Dinner at it's largest dining hall each academic year where plant-foward options are served and main ingredients are sourced within 100 miles from campus. Farmer's Market Fall Harvest Days is another multi-day dining event that highlights dishes from local farms.,NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Western Colorado University,2.60E+07,117,7,2040,6.21,16.97,10120.9,0.2,24.31,11.36,NA,3.06,NA,Rural,,No,NA
Western Kentucky University,1.98E+08,229.73,4,12236.28,4.62,NA,,0.19,36.96,31.43,0,5.29,3.2,Mid-size city,Each Monday is meatless-Monday and fish-Friday at Fresh Food Co.,NA,"
      
      
        









  
    $5 million - $9.9 million
  





  
  

  

  


      
    "
Western Michigan University,386600000,1200,4,14873.25,10.82,0.18,9817.33,0.15,29.99,24.08,NA,5.93,NA,Urban fringe of mid-size city,,No,NA
Western Technical College,0,204,6,2576.91,28.75,18.93,3554.92,0.08,27.54,16.4,2,1.49,31.51,Large town,Western promotes a vegetarian menu on the Union Market website as well as physically in the Union Market marking menu items that are plant-based.,NA,"
      
      
        









  
    Less than $500000
  





  
  

  

  


      
    "
Western Washington University,57100000,212,4,13269.75,3.7,22.9,4824.82,0.16,24.93,42.24,18.42,0.94,NA,Mid-size city,,No,NA
Whitman College,565255655,117,5,1711.55,20.98,53.22,17964.19,0.18,52.3,7.49,12.21,0.14,59.69,Large town,"\Eat Local Challenge:Lamb Chop - Upper Dry Creek Ranch Weston ORAmarosa fingerling potatoes – Hayshaker Farm College Place WAWilted rainbow chard – frog hollow farm Walla Walla WAPresident plums – Edwards farms Milton Freewater ORGrapeseed oil – Apres Vin Yakima/Prosser WAWalla Walla Onions Locati Farm Walla Walla WA""",NA,"
      
      
        









  
    $1 million - $4.9 million
  





  
  

  

  


      
    "
Williams College,2807370636,450,6,2986.5,7.83,0.03,13402.39,0.32,23.51,5.86,15,6.22,NA,Small town,Driscoll Dining hosts Meatless Mondays every Monday throughout the school year. ,Yes,NA
Worcester Polytechnic Institute,528287000,97,6,5423.25,14.44,1.4,7266.1,0.15,33.8,65.99,15,2.06,NA,Mid-size city,Plant-Based Monday is a highlight each Monday at Morgan Dining Hall.  Two hot lines serve only vegetarian/vegan options for lunch.,Yes,NA
Yale University,3.03E+10,657.94,5,23338.75,6.22,0,23911.48,0.34,41.05,65.99,12,9.03,42,Mid-size city,Individual colleges host week-long carbon awareness campaigns that are accompanied by signage and surveys. By offering a wide variety of meatless options at every meal and supporting those offerings with educational materials Yale offers low impact dining daily.,NA,"
      
      
        









  
    $10 million or more
  





  
  

  

  


      
    "
